Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,1.9082645181908997,-0.6762519595437755,0.0000000000000000000000000000000000000000000000000000000000000000000000000000008258986301688185,2.3621521227485007,-0.3662611142622254,0.0000000000000000000000000000000000050682312938767554,3.2839250317307265,0.2805904986864498,0.0000000000000000000003539626820092304,7.692633259015937,1.758535311896686,0,2.111568265040284,-0.4637354283607731,0.0000000000000000005818371108187651,0.19717127561848688,-3.9506279880353468,0,0.5967201293470126,-2.302762310919576,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022778474562704587
ENSMUSG00000032281,Acsbg1,5.701001427849744,1.6033857389490853,0,1.7582542564245747,-0.6898534627571712,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012448871788529394,2.082915661770865,-0.36912738185072347,0.0000000000000000000000000000000020835292098261578,0.9675032035159016,-1.4918889575080325,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003105848971704093,3.309007294784048,0.420219109794024,0.000000000000000004620957013523313,1.6151335170578764,-0.6884746941223198,0.000000000000000000000000000000000009539867547723641,1.630282186054637,-0.6572585204383593,0.00000000000000000013478661120631157
ENSMUSG00000035783,Acta2,0.20977858019154733,-0.48435989446754646,0.0000000668722835346149,0.10829374556684049,-1.6745459377200476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039303905567076204,0.10059767587197754,-1.7611674242030848,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002761153995725431,0.12623405228717632,-1.2348127383392915,0.000000000000000000000019420218958500572,0.43406765575400785,0.7017630875875194,0.000000001833618001943347,0.10293008964490502,-1.5024044770750704,0.0000000000000000000009809716184102819,3.415687832029165,4.500579310923272,0
ENSMUSG00000000530,Acvrl1,0.15118197094815336,-1.4490606390978593,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006536389926026665,0.08806670469617005,-2.4371939273977827,0,0.07549357117239397,-2.635802222784898,0,0.03669086640872945,-3.4660353070999506,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004717004797574399,3.2313925483909474,4.507719536115189,0,0.06583515474041003,-2.56264389890721,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005033310419020582,1.3449976620640334,2.035270825131339,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003739458832889668
ENSMUSG00000036545,Adamts2,0.22554936133362088,1.0663998910377135,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000006762387871613376,0.1297693692073054,0.028392811521826822,0.5837334699057525,0.07948122679254442,-0.8644737307522998,0.000000000000000000000000000000000000000000000015704096758159024,0.02140300540509218,-2.7031801877464083,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002369058789500841,0.057811806984161454,-1.2003781356633052,0.00000000000000000000000001423208308876552,0.13568057271373843,0.09364240981857286,0.31240993500032554,0.4136625597863753,1.831705620148264,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001742341671161736
ENSMUSG00000066113,Adamtsl1,0.6202267549149961,2.8008337458625068,0,0.11720030265804104,-0.8055468684410707,0.000000000000000000000000000000000000000000000000000000000003130004014986073,0.029454274467020453,-2.97795841865462,0,0.03953004059511923,-2.3110116905229776,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019577167904252017,0.046952130534097976,-2.0139189951232908,0.00000000000000000000000000000000000000000000000000000000000006084460733946668,0.09591212898729785,-0.9562153246896643,0.00000000000000000005392165961018108,0.47844592044257483,1.5097447293329742,0.000000000000000000000000000000000000000000000000000000000058128716530483365
ENSMUSG00000039167,Adgrl4,0.3363526943576721,-0.9589106465394903,0.00000000000000000000000000000000000000000000000000000000000000000000000012369534455303274,0.12702248711375755,-2.624553571938152,0,0.1357615481587589,-2.485023874956605,0,0.06770338444467934,-3.2876018575048667,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001731300741480533,5.6339362618432265,4.801851312554106,0,0.11462669074091696,-2.468001101196335,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005461072410527642,1.103100159430334,0.9304172716060594,0.0000000000000000000000000026138612322722232
ENSMUSG00000013584,Aldh1a2,0.06525840472582159,-1.9072136257243564,0.00000000000000000000000000000000000000000000000000000000000000000000000000000007723543790232158,0.01048809526627356,-4.797096409939559,0,0.008337825387587329,-5.084132676285782,0,0.008954318587844687,-4.703338230693479,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030514750680144806,0.21623532225567574,0.015597559454656462,0.8706207653558425,0.03341886027431981,-2.7558633680451288,0.000000000000000000000000000000000000000000000000000000019227149756861088,4.548505129375187,6.944780280048997,0
ENSMUSG00000022309,Angpt1,0.4365515366137774,1.2548440721440153,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017945429190751945,0.11803269117123737,-1.1870948757596556,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003933968481741958,0.103679046123912,-1.3757095361322365,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013605475154980714,0.19219025261715428,-0.2619975065935094,0.0004032389053977949,0.22294276947483258,-0.023404669457164573,0.8243425162933165,0.3759621780860979,0.8048919600002242,0.00000000000000000000000001890675749136767,0.723315136867843,1.810747810781935,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007783822347642796
ENSMUSG00000031075,Ano1,0.21317745543768388,1.365502033418506,0.00000000000000000000000000000000000005335155353919879,0.028467687151313946,-2.2429920234337413,0.00000000000000000000000000000000000000000000000000000000000000000000000008918543344885775,0.014500565891456223,-3.228027543594184,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000979140860321394,0.016598249089663324,-2.7840897333993078,0.00000000000000000000000000000000000000009554255878500588,0.24434272012642827,1.3764364731605112,0.00000000000000000004441364247618387,0.3712835376476931,2.124683499318762,0.00000000000000000000000000000000000000000000000000013156165534125356,0.2840958384739761,1.539613287738086,0.0000000000000009472672251403352
ENSMUSG00000024411,Aqp4,5.15650161341867,2.138606202937566,0,0.7618852061285865,-1.583347331776421,0,0.8272572841075776,-1.419902904648382,0,0.4239105458294278,-2.2575488994848536,0,2.016386394977963,0.12919044904975285,0.02159426464562849,2.951887928030669,0.734609532050894,0.00000000000000000000000000000000000000000034282294192854032,3.6373776808801965,1.0278725869156633,0.00000000000000000000000000000000000000000000000000008842991369139454
ENSMUSG00000022602,Arc,4.345122114660954,-0.03405070665326981,0.3098750349402834,5.2294808341558445,0.3443323942906251,0.00000000000000000000000000000000000026855405753657247,6.0469172338108885,0.6441080589478063,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014343270374510591,1.6703080136545407,-1.5114147565349172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008221694897018898,5.681527196874387,0.39089229810299475,0.000000000000000012250777640759458,0.20819949950901243,-4.509499505860156,0,1.1976006580022216,-1.9299791128609776,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013556636633824922
ENSMUSG00000041225,Arhgap12,1.0574580665780007,1.216659637047493,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036322168707956967,0.3049039123838099,-1.1085398473979067,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001658794171685274,0.21025820542611523,-1.692009151486817,0,0.9685951935875899,0.927034391690577,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016090201300653873,0.6736193421524669,0.29409713101297996,0.000000037705142494810646,0.7195080617061055,0.39708574479666325,0.00000000000014114713844839026,0.8564479147301247,0.6486368419837263,0.000000000000000000002077040084030554
ENSMUSG00000030047,Arhgap25,0.2864572057443877,-0.5320679829559667,0.000000000000000000000009007157474031504,0.9947875121209152,2.661733558849115,0,0.07304660067821073,-2.782958457448278,0,0.10068148460966832,-2.082725959853149,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005737624300216305,0.3146112148033096,-0.3400436636545432,0.000009807968676962375,0.05480693084988449,-2.9219325212985003,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014185780354848208,0.18662362611051989,-1.098995361767962,0.0000000000000000000009574898516814337
ENSMUSG00000031355,Arhgap6,0.38244144269528363,1.2021435277812722,0.00000000000000000000000003595773345570115,0.1401742256222593,-0.7017582590828995,0.00000000008868801205225961,0.1673002789726762,-0.3677367524091162,0.0008122698827205687,0.08517522559169337,-1.349716769553507,0.000000000000031784448090251486,0.3427186126740621,0.8336364976794843,0.00000047021581862122636,0.10827710728879619,-0.9556266360519361,0.000006404577793848152,0.3405584005137831,0.7854773119888616,0.0002807654145031348
ENSMUSG00000021662,Arhgef28,1.2809681027639397,0.8752133624912206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018939277167702296,0.4544841282051876,-1.037151072133045,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012894657169315708,0.36052031947633034,-1.3986300896321875,0,2.4912661495498623,2.0641941837100943,0,0.5825897013210525,-0.48492589647488726,0.00000000000000002179600400345436,0.46853242104596377,-0.8127126007768659,0.000000000000000000000000000000000000000007262526727675765,0.3993983335868451,-1.0273648995979074,0.0000000000000000000000000000000027061697051893385
ENSMUSG00000048251,Bcl11b,0.7680098506170129,-0.8238981943973085,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022073210393808243,2.093706827242689,1.1682101117268904,0,0.1950326112400862,-3.060067294659171,0,3.9215547454472977,2.062474731073605,0,0.6946998905555313,-0.9064473910822249,0.0000000000000000000000000000000000000000000000000002239912941311808,0.14637460800152077,-3.193257698963985,0,0.17770848473581352,-2.869292161117754,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024624170406836248
ENSMUSG00000048482,Bdnf,0.14737523067248043,-2.691813310052125,0,0.7734554064620152,-0.10265089870985761,0.0035813177441624765,1.169561267682766,0.7589512060382982,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017299846607843656,2.1855089294771166,1.748841687482626,0,0.24721734036320978,-1.7959435806134696,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012281074290796502,0.24362349139979142,-1.8138499512870474,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017682171360606152,0.035066222740511695,-4.569789933228014,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004247360594121884
ENSMUSG00000025128,Bhlhe22,0.7991435478716236,-0.8579571778318663,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003419228961753162,0.48544898089609045,-1.7816519143807539,0,1.7435117913739677,0.5442690915438835,0.0000000000000000000000000000000000000000000000000000000000019143688459169647,4.877701252217641,2.417988105726027,0,0.9530963096173358,-0.5204544283038355,0.000000000000000011640238203735853,0.1764515822484086,-3.010463512977163,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011633511691207565,0.24189750263369933,-2.5112634992874603,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008348353687083871
ENSMUSG00000030103,Bhlhe40,2.9577012391880184,-0.042376422665619806,0.19855324408713146,2.3355156903262184,-0.49957111055469294,0.0000000000000000000000000000000000000000000000000000000000000000000000004510119580236096,4.988104038124119,1.0855727382883595,0,2.350181032287724,-0.4052543313263042,0.000000000000000000000019278517127316236,2.1010279908387517,-0.5632102472744254,0.000000000000000000000000000003363549461717381,1.91957933415693,-0.6982162127244088,0.00000000000000000000000000000000000000000067247710863000224,1.0305903429160557,-1.5945553446514686,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007600416543495767
ENSMUSG00000020042,Btbd11,0.28278642047856023,-0.6539829931651173,0.0000000000000000000000000000000000000008819993115301405,0.6822256254156992,1.1206345018436006,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018408145603634085,0.20536426443774877,-1.256527139718602,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008147044579146515,0.055909891670444876,-3.0367498709527325,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011877989574542465,0.25296658083677276,-0.7646383395564582,0.0000000000000000000000009052807470867423,1.356471538534641,1.9684273376356425,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008305286678651593,0.12005723717937904,-1.8322571812331931,0.0000000000000000000000000000000000000000000000000000015058547822124458
ENSMUSG00000009075,Cabp7,5.639141898370059,1.6073129649961255,0,1.1491123424675118,-1.3987822695629766,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014950029135581108,0.3320629589143475,-3.293230496798854,0,7.318299062441162,1.9266087406430283,0,3.5287560417735677,0.5433509446672655,0.00000000000000000042728138916520094,0.5791488485539623,-2.191692336420786,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005032478340538317,1.0775434208228425,-1.2485500053991,0.00000000000000000000000000000000000017135223522457075
ENSMUSG00000010066,Cacna2d2,0.39834817884720264,-0.3911959241620865,0.0000000000000000002780864460793094,0.7747039892318097,0.9739765701657125,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000713946240733129,0.19050118439900612,-1.676423526036298,0,0.07578411097517333,-2.8612896620431867,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002891283235964282,0.28969783941786986,-0.836944959494863,0.0000000000000000000000000000000000034842418872278046,1.8096312838544177,2.167337203152047,0,0.2591334426247983,-0.9774429387328211,0.0000000000000000000000008836834579624954
