Barcode,Cluster
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,2
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,2
40,1
41,1
42,3
43,2
44,2
45,2
46,2
47,2
48,1
49,2
50,2
51,1
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,2
67,2
68,2
69,2
70,2
71,1
72,1
73,2
74,2
75,3
76,2
77,3
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,2
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,3
101,3
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,2
111,2
112,1
113,2
114,2
115,1
116,2
117,1
118,2
119,2
120,1
121,1
122,1
123,1
124,3
125,2
126,1
127,2
128,3
129,1
130,2
131,1
132,1
133,2
134,1
135,1
136,2
137,1
138,3
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,3
173,1
174,1
175,2
176,2
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,3
185,1
186,1
187,1
188,1
189,2
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,3
208,1
209,1
210,3
211,1
212,1
213,1
214,1
215,3
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,2
238,3
239,1
240,1
241,3
242,1
243,3
244,1
245,1
246,3
247,1
248,1
249,1
250,1
251,1
252,3
253,1
254,3
255,1
256,1
257,3
258,1
259,1
260,1
261,1
262,3
263,1
264,1
265,3
266,3
267,3
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,3
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,3
298,1
299,1
300,2
301,1
302,1
303,1
304,1
305,1
306,1
307,3
308,1
309,1
310,3
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,2
319,1
320,1
321,3
322,1
323,1
324,3
325,1
326,1
327,1
328,1
329,1
330,3
331,1
332,1
333,1
334,3
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,2
350,2
351,2
352,2
353,2
354,3
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,3
381,3
382,3
383,2
384,3
385,2
386,2
387,2
388,2
389,2
390,2
391,3
392,2
393,2
394,2
395,3
396,2
397,3
398,3
399,2
400,2
401,3
402,2
403,2
404,2
405,3
406,3
407,2
408,2
409,2
410,2
411,3
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,3
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,3
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,3
467,3
468,3
469,2
470,3
471,3
472,3
473,3
474,3
475,1
476,2
477,1
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,1
489,1
490,3
491,2
492,3
493,2
494,2
495,1
496,1
497,2
498,2
499,2
500,2
501,3
502,2
503,2
504,2
505,1
506,2
507,1
508,2
509,1
510,2
511,2
512,2
513,1
514,1
515,2
516,2
517,2
518,2
519,2
520,2
521,3
522,3
523,1
524,2
525,2
526,1
527,1
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,3
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,3
559,2
560,1
561,2
562,2
563,1
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,1
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
