Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,3.3224283296011756,0.2980007908459461,0.000000000000000000000005228805525553101,2.874405456548913,0.01203303716842652,0.75420474411783,2.62319943635554,-0.14795615229551573,0.000009610735438460466,0.6445108166258998,-2.223969879484175,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004759294115337446,7.708973061178455,1.7440117548342347,0,2.0779616564417136,-0.4877693799106009,0.000000000000000000016460427908336487,1.9382007630856537,-0.6081121724669295,0.00000000000000000000000000000000000000017770728962377138,0.19635558797268626,-3.957409719099501,0,0.5902717280362049,-2.3175812444430197,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001047716302028223
ENSMUSG00000032281,Acsbg1,1.8582536236537246,-0.5658317091330163,0.000000000000000000000000000000000000000000000000000000000000000000000020732543770242074,8.156248111176676,2.2012841183590006,0,1.5913960568451468,-0.7900903367358572,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004375370489829472,2.233629527462038,-0.19424290599371874,0.0003404328994161671,0.8049162345757394,-1.761942538056743,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006647466193844222,3.2523773006134906,0.3922427130456043,0.0000000000000010728176118355521,1.7105368462470523,-0.6176419925982705,0.00000000000000000000000000000000000000035967664171633487,1.6295523711314317,-0.6753589943432634,0.00000000000000000000000000000000009011084057322453,1.5415009876053407,-0.7395781605760999,0.000000000000000000000013621332318177152
ENSMUSG00000035783,Acta2,0.1024355343269661,-1.712616776404115,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034512054246174304,0.2505539773387687,-0.17526837555776065,0.09297638736202192,0.10826415414450698,-1.556594041969371,0.00000000000000000000000000000000000000000000000000000004416828539835389,0.11271087913923425,-1.3652385070420772,0.000000000000000005845244729499491,0.12934518559024252,-1.19336276369568,0.000000000000000000002875879312308581,0.44303527607361876,0.7340976485955295,0.00000000034375726242655925,0.1079522085009483,-1.4626308817322198,0.00000000000000000000000000012795449064584902,0.1054747921880308,-1.466894279239022,0.000000000000000000004453211894682163,3.4566991843271277,4.507623150563058,0
ENSMUSG00000000530,Acvrl1,0.07658641731575233,-2.5902436240599163,0,0.17776186645961195,-1.1462042922380222,0.000000000000000000000000000000000000000000000000000000000000000014816923801446757,0.0855174948925612,-2.339798798537471,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024360531955542167,0.12143463139459293,-1.6639227050085208,0.0000000000000000000000000000000000000000000000000000000000326874193026649,0.0354840774628099,-3.5068557427260387,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009199718874059007,3.2688819018404844,4.521745683949,0,0.08302206884713453,-2.262943304581385,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004468539225023149,0.06699971076095038,-2.5378801538408076,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001774556628937343,1.3334195870745924,2.0170598876795656,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013640294481788379
ENSMUSG00000036545,Adamts2,0.08436998043065314,-0.7498228337736332,0.000000000000000000000000000000000015370605201113677,0.07436175208409816,-0.8595279904842217,0.0000000000000000000000014993471006616238,0.1598481081858048,0.4070885037107157,0.0000000000005593822438884082,0.4592183187220813,2.140055534917895,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001886043550945407,0.02106151694566781,-2.719126360718469,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005977543307439684,0.05857515337423301,-1.1799760358195432,0.00000000000000000000000014101137374299684,0.05456407924230938,-1.312821811663893,0.00000000000000000000000000000000000000020834462030769236,0.13996969277782703,0.14215100490817356,0.12108171301587811,0.41858940631549985,1.8481755076517614,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005876979986961867
ENSMUSG00000066113,Adamtsl1,0.02911629165203633,-2.970351989143459,0,0.06494390485444984,-1.5890107150981945,0.00000000000000000000000000000000000000000000000000000000000000000000004907185819684715,0.13275099497856885,-0.5262875574292205,0.00000000000000000000922503802391995,1.4662882790806882,4.058035742849738,0,0.041436245295281234,-2.235151698681421,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188148623470942,0.0478957055214723,-1.9836111220882549,0.00000000000000000000000000000000000000000000000000000000000618232418888037,0.09031295874589139,-1.0715573338111657,0.000000000000000000000000000000010188799295699025,0.09353424967617825,-0.9941322014512748,0.000000000000000000002265673657532814,0.4950274718165911,1.562351319576059,0.000000000000000000000000000000000000000000000000000000000000008316549912631913
ENSMUSG00000039167,Adgrl4,0.13520337410698058,-2.46810816626012,0,0.2933267001734215,-1.1266285224189563,0.000000000000000000000000000000000000000000000000000000000000000000000029260635747246192,0.11771085416170851,-2.59310920084051,0,0.4232764594300035,-0.5313192568097114,0.000000000012705284958469849,0.0645581280291122,-3.34944783958155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002180549132749567,5.681789877300602,4.800833642472359,0,0.14276032801759395,-2.1843003272299386,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002598769298706844,0.11774701643632368,-2.4295275446289972,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003301312592550733,1.0816592919717918,0.8988913355683615,0.0000000000000000000000005611416469219907
ENSMUSG00000013584,Aldh1a2,0.008456216717423092,-5.0354985969950405,0,0.08750749717548227,-1.4003109742504005,0.000000000000000000000000000000000024562020578453075,0.009446700017201527,-4.773541776429005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031605988100463665,0.03943136019422127,-2.5121970503639006,0.0000000000000000000000000000000000000000000000041929798255647186,0.009157181280725134,-4.662401682648431,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014764751507990288,0.2346242331288339,0.14286076109598111,0.2235220425667911,0.015287349787715992,-3.928330081359291,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047398976994753904,0.036816672744878674,-2.616648637645551,0.00000000000000000000000000000000000000000000000000002703821677616038,4.552918107822937,6.813061810911621,0
ENSMUSG00000022309,Angpt1,0.10041757351939923,-1.4100881925062254,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002439283601270849,0.46539861726512094,1.260806386096435,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003680912453749356,0.1180837502150191,-1.0904051831907078,0.0000000000000000000000000000000000000000000000000000000000000000000000000000005499503949290845,0.3335962862449162,0.6090182017479475,0.000000000000011501996533095333,0.18474613233862958,-0.32282383247611923,0.000022258514883081875,0.22556288343558237,-0.005228350591265585,0.9725417338977022,0.12911930820701661,-0.8757605450776009,0.00000000000000000000000008437644997840162,0.37247859002251127,0.7903110271419989,0.00000000000000000000000011983867842076806,0.724341668319865,1.810087474938954,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004801863204119251
ENSMUSG00000031075,Ano1,0.01422181902475702,-3.231063490862843,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000879166471187349,0.12988780970889968,0.35268227447267053,0.009254006492809328,0.021130776354266575,-2.5522609705610373,0.00000000000000000000000000000000000000000000000000000000000007115723073382294,0.32661728444062926,1.8719493540340757,0.00000000000000000000000000000000000007054229214362506,0.014193630985123959,-3.0022936122201074,0.000000000000000000000000000000000000000001135293464085026,0.2527469325153369,1.4328546221009366,0.0000000000000000000011001171561077732,0.0359840695003161,-1.639630583185952,0.0000000000000000027858031151112307,0.3684984091852271,2.1130040432784023,0.00000000000000000000000000000000000000000000000000030405357212645255,0.28937267653984555,1.5669919161584906,0.0000000000000004495851150200131
