Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,2.466705888265419,-0.2588705851220161,0.000000000000002572926907900127,3.298521003892094,0.2853121100235336,0.0000000000000000000002371803900554423,2.5932382585545315,-0.1690819587884027,0.0000003217213751365323,0.6291471181671173,-2.2605652881831677,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020341445969725674,7.691473345943002,1.7462768056166253,0,2.095448627905179,-0.4754560317535561,0.00000000000000000007561991793134017,0.1980577990478612,-3.945242809822024,0,0.612770413844748,-2.265103534716899,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004219140567910897
ENSMUSG00000032281,Acsbg1,5.45957935654727,1.609227452702839,0,1.8327633874647693,-0.5928610734721628,0.000000000000000000000000000000000000000000000000000000000000000000000000000000601262365106952,1.559152229240728,-0.8279453815551541,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007442175312246753,2.325198551958975,-0.13270840827368846,0.013341067646230801,0.8420598652743472,-1.6966422772169223,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014559142786075595,3.295035540347852,0.4135151741223899,0.000000000000000015383748939583518,1.6595193546264029,-0.6479377048260908,0.000000000000000000000000000000021885089684907548,1.6569871704536383,-0.6336131280449235,0.0000000000000000010182397250318362
ENSMUSG00000035783,Acta2,0.17761757739437462,-0.779494921493014,0.00000000000000000008288410908523982,0.10109649711448125,-1.739309408763971,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005222113840770534,0.10689537066527006,-1.5831580493212019,0.00000000000000000000000000000000000000000000000000000000003604294102499998,0.12438626803740932,-1.2202723864452656,0.0000000000000026312954127233013,0.12800749755305998,-1.2107562617678391,0.00000000000000000000039823306812310803,0.4441023888617554,0.7390847317356084,0.0000000001977074201944293,0.1058071714446003,-1.462475881197794,0.000000000000000000004750850916623601,3.384521648305197,4.499782945353314,0
ENSMUSG00000000530,Acvrl1,0.1313978184487911,-1.7034407103601135,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100053049452339,0.07409967342191202,-2.647360911489203,0,0.08433393238716001,-2.36901889650939,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020711430303858293,0.12954039516603125,-1.5699025375305626,0.0000000000000000000000000000000000000000000000000000004306340141593696,0.0357701091580607,-3.4980202178229662,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028498317929171856,3.247817757624045,4.53113322264457,0,0.06811336661746145,-2.5142044997720285,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017179680884000926,1.283844387522488,1.9605148855159367,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004947086085183876
ENSMUSG00000036545,Adamts2,0.06535312549163556,-1.1367141691287292,0.00000000000000000000000000000000000000000000000000000000000012888622684320134,0.0822175994273699,-0.797652534212903,0.000000000000000000000000000000000000000423207087959066,0.15829201615444055,0.39179627883268564,0.000000000002439230467906021,0.4552812296949374,2.1291466310658747,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016546560314960764,0.020922139318865694,-2.7314888480578614,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025503468352276744,0.05934126747721732,-1.161686095150829,0.00000000000000000000000028548395354983965,0.13920255993180228,0.13360435222996525,0.14350137405726598,0.40870795442927527,1.8146869847422828,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007814486672750202
ENSMUSG00000066113,Adamtsl1,0.07607242120719485,-1.4410823634811845,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598189197404766,0.02963986936876481,-2.9510295651099248,0,0.1288535619305964,-0.5794126708571454,0.0000000000000000000000003258103479497813,1.4538074587466265,4.056053270669408,0,0.040494463197804566,-2.2713523676547593,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003466550143256381,0.04785586086872364,-1.9861661743554229,0.000000000000000000000000000000000000000000000000000000000000704064660337408,0.09390386465708277,-0.9884307656306657,0.000000000000000000003019925481605191,0.4827534754171754,1.5263057498014332,0.00000000000000000000000000000000000000000000000000000000000017752282471273355
ENSMUSG00000039167,Adgrl4,0.22383733633995814,-1.6337875664597692,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002154805306865633,0.13186910034447274,-2.513086644670762,0,0.11461693242890131,-2.64150079554568,0,0.42951059405182773,-0.5096777624173742,0.0000000000547473896333009,0.06389126415653609,-3.3672346768231964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009661866262692355,5.637101371263187,4.8079471587206895,0,0.11671853599982472,-2.44261612099323,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015035277138625918,1.0500471125921895,0.8548705174607993,0.000000000000000000000024125026705810518
ENSMUSG00000013584,Aldh1a2,0.04241613788522379,-2.601092629765506,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016301193659494235,0.008495503959200104,-5.037220105176565,0,0.009048705191755367,-4.845684550902555,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018264571364282633,0.03951497465276815,-2.5106456313987904,0.0000000000000000000000000000000000000000000000009371533295981718,0.008998769599512126,-4.690462145378683,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011999508186995796,0.2357698745465785,0.15063756400371808,0.19577887708187924,0.03339538848720197,-2.7580165106774843,0.000000000000000000000000000000000000000000000000000000004127186986996189,4.454975006838934,6.902308736699233,0
ENSMUSG00000022309,Angpt1,0.30820856713339245,0.5831138815525927,0.00000000000000000000000000000023545007483451307,0.10100210262604568,-1.4059368611992336,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010448307546700145,0.11570277705191195,-1.1284555340028952,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000431194236241314,0.359070856627328,0.7282218133420462,0.000000000000000000004694111992755465,0.18739937690984002,-0.30096523833179445,0.00006737686627349563,0.22715581959020822,0.005681407033188535,0.9376946124005416,0.3766074008606242,0.8085518813752113,0.000000000000000000000000006151753763794248,0.7352078894940316,1.840612841583577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002739583417849785
ENSMUSG00000031075,Ano1,0.08172022217560779,-0.44202201393757035,0.00024274350896116926,0.013215228380977941,-3.3474300858797963,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023721738921688664,0.020148450226975284,-2.6319201571222046,0.000000000000000000000000000000000000000000000000000000000000000002933720256524958,0.3442956921919451,1.9732512406834992,0.0000000000000000000000000000000000000000002931689420652774,0.014398031359219401,-2.9846160299169515,0.00000000000000000000000000000000000000000044650232112279,0.25650741425635876,1.46144979218361,0.00000000000000000000007530997880465816,0.3696638052345723,2.120192770882289,0.00000000000000000000000000000000000000000000000000008671861235549939,0.28918565677164126,1.5704623999687406,0.00000000000000011124745322720425
