Feature
1,ENSMUSG00000070570
2,ENSMUSG00000030103
3,ENSMUSG00000027977
4,ENSMUSG00000035357
5,ENSMUSG00000039114
6,ENSMUSG00000052560
7,ENSMUSG00000022419
8,ENSMUSG00000022103
9,ENSMUSG00000040972
10,ENSMUSG00000019990
11,ENSMUSG00000021250
12,ENSMUSG00000000305
13,ENSMUSG00000036902
14,ENSMUSG00000076498
15,ENSMUSG00000026525
16,ENSMUSG00000098557
17,ENSMUSG00000021662
18,ENSMUSG00000022372
19,ENSMUSG00000046027
20,ENSMUSG00000034295
21,ENSMUSG00000019876
22,ENSMUSG00000050447
23,ENSMUSG00000050840
24,ENSMUSG00000024713
25,ENSMUSG00000029154
26,ENSMUSG00000074736
27,ENSMUSG00000071379
28,ENSMUSG00000024558
29,ENSMUSG00000067028
30,ENSMUSG00000024642
31,ENSMUSG00000039385
32,ENSMUSG00000038331
33,ENSMUSG00000030583
34,ENSMUSG00000073565
35,ENSMUSG00000036402
36,ENSMUSG00000041272
37,ENSMUSG00000052133
38,ENSMUSG00000042834
39,ENSMUSG00000050783
40,ENSMUSG00000022306
41,ENSMUSG00000039747
42,ENSMUSG00000026452
43,ENSMUSG00000051920
44,ENSMUSG00000048776
45,ENSMUSG00000039057
46,ENSMUSG00000027018
47,ENSMUSG00000024064
48,ENSMUSG00000053930
49,ENSMUSG00000038860
50,ENSMUSG00000001985
51,ENSMUSG00000037610
52,ENSMUSG00000041592
53,ENSMUSG00000036545
54,ENSMUSG00000034310
55,ENSMUSG00000030043
56,ENSMUSG00000041225
57,ENSMUSG00000046182
58,ENSMUSG00000010066
59,ENSMUSG00000025370
60,ENSMUSG00000075324
61,ENSMUSG00000028871
62,ENSMUSG00000058420
63,ENSMUSG00000035168
64,ENSMUSG00000034903
65,ENSMUSG00000020644
66,ENSMUSG00000027748
67,ENSMUSG00000035305
68,ENSMUSG00000022197
69,ENSMUSG00000037653
70,ENSMUSG00000043067
71,ENSMUSG00000028883
72,ENSMUSG00000010476
73,ENSMUSG00000031841
74,ENSMUSG00000066113
75,ENSMUSG00000027684
76,ENSMUSG00000040998
77,ENSMUSG00000054404
78,ENSMUSG00000030092
79,ENSMUSG00000034738
80,ENSMUSG00000036834
81,ENSMUSG00000027210
82,ENSMUSG00000036390
83,ENSMUSG00000021613
84,ENSMUSG00000020591
85,ENSMUSG00000087141
86,ENSMUSG00000034402
87,ENSMUSG00000021318
88,ENSMUSG00000031558
89,ENSMUSG00000023484
90,ENSMUSG00000018774
91,ENSMUSG00000026141
92,ENSMUSG00000048251
93,ENSMUSG00000063434
94,ENSMUSG00000028004
95,ENSMUSG00000035456
96,ENSMUSG00000042589
97,ENSMUSG00000024990
98,ENSMUSG00000031557
99,ENSMUSG00000033910
100,ENSMUSG00000027971
101,ENSMUSG00000030413
102,ENSMUSG00000024867
103,ENSMUSG00000026185
104,ENSMUSG00000063632
